y_true,y_pred
23914606.957896195,3.3935348e+07
96013561.0122451,8.516194e+07
209450920.45993233,1.883966e+08
348796773.61523706,3.676728e+08
10019061.634659003,1.4822428e+07
4975318.765551992,9.409837e+06
199235878.5302461,1.7301013e+08
8537681.143244324,1.1148655e+07
68339603.31127323,6.442291e+07
180276077.90943435,1.6288206e+08
60008693.41855274,7.553813e+07
39824784.39757623,6.6432936e+07
26429728.127076447,2.7336398e+07
32933469.21490072,3.637809e+07
32933469.21490072,1.1417269e+08
74775436.5018106,5.5140532e+07
19000958.81870862,1.6929196e+07
189519030.07422003,1.4168994e+08
65006641.528389476,9.3739256e+07
229175810.8656434,1.5400845e+08
114949102.3390151,8.07844e+07
30098924.554667726,4.0508836e+07
36397112.40764796,2.9274082e+07
102975329.69698377,7.9723016e+07
480337721.05634475,3.6918083e+08
169777616.42877573,1.7303322e+08
16518640.029517895,2.9071598e+07
50123474.03822877,1.071639e+08
18074271.122081954,6.0947756e+07
39824784.39757623,3.2985252e+07
116104360.02369751,1.26693816e+08
199235878.5302461,1.9208859e+08
28630982.68222707,2.9531942e+07
124522876.0047006,1.0137989e+08
80197267.40504706,8.119004e+07
34969961.21690818,2.8046114e+07
499940675.3264629,4.606938e+08
13660240.252732258,4.1424576e+07
52169051.818940915,4.0819464e+07
11994994.551201342,1.6303427e+07
133551803.2683458,1.21213016e+08
158299600.31655303,2.0067112e+08
36762909.46872613,2.7202468e+07
41866644.756578766,3.8411564e+07
37882506.74337142,3.558138e+07
81817359.67311303,6.028815e+07
44902319.023094684,3.7974556e+07
397219665.8050841,2.2443216e+08
54843816.30259567,7.937631e+07
377847034.1041358,2.2470371e+08
178482300.96318725,1.2065044e+08
279915967.4948901,2.3405766e+08
16852338.69353376,3.2203454e+07
164759929.55981764,1.402881e+08
12864729.79026319,2.4605822e+07
250758278.6964761,2.0179418e+08
348796773.61523706,1.9712678e+08
271643200.4243261,1.3284237e+08
41866644.756578766,2.541674e+07
22521928.667553768,2.8435118e+07
119640264.19819069,8.02111e+07
60008693.41855274,3.5283136e+07
52169051.818940915,5.1417708e+07
39036200.8312318,6.125951e+07
250758278.6964761,2.0152992e+08
438995622.7355058,4.9084483e+08
60008693.41855274,1.2157166e+08
31960138.103857778,3.3232548e+07
37882506.74337142,4.2668264e+07
6920509.831830581,1.942038e+07
33936442.671313055,3.7887304e+07
129604750.97911508,9.239075e+07
51136035.38059728,7.94216e+07
97953163.60543309,1.06536e+08
89522450.91498001,1.7299856e+08
106111395.37161528,6.84576e+07
53222936.57360876,7.742732e+07
15556669.322844986,1.4661901e+07
82639637.80821343,8.768646e+07
189519030.07422003,1.4248154e+08
69026427.74301739,5.192982e+07
50123474.03822877,4.7902444e+07
44902319.023094684,4.4314268e+07
60008693.41855274,2.64381e+07
149080949.25869176,1.7179902e+08
106111395.37161528,8.077485e+07
268940305.4191956,1.9122403e+08
36762909.46872613,5.861009e+07
240925905.95158944,1.4082213e+08
8797692.243505554,2.3858518e+07
144674941.34526902,8.373343e+07
89522450.91498001,6.3090516e+07
10019061.634659003,1.0271916e+07
36034955.08814159,2.046656e+07
150579237.7078077,8.231302e+07
164759929.55981764,6.2686292e+07
217998774.6792103,7.1553816e+07
24890580.58235468,2.8301366e+07
309354986.78036124,2.5293866e+08
43141673.91083772,4.9580332e+07
65006641.528389476,4.8988216e+07
65006641.528389476,1.15116e+08
129604750.97911508,1.950674e+08
29799435.251377594,2.655211e+07
18811896.11953723,2.0514006e+07
15556669.322844986,1.5924119e+07
127038404.96398106,1.0786442e+08
189519030.07422003,1.8325691e+08
80197267.40504706,4.7889836e+07
57082034.90556967,4.0320212e+07
85156389.4637501,7.837244e+07
95058210.11783905,1.3400306e+08
18074271.122081954,1.2838047e+07
250758278.6964761,1.6222723e+08
57082034.90556967,5.2998604e+07
15556669.322844986,1.967957e+07
229175810.8656434,1.5484614e+08
95058210.11783905,9.342173e+07
85156389.4637501,5.819248e+07
47204510.14923478,4.4132744e+07
80197267.40504706,1.1730098e+08
150579237.7078077,1.4633274e+08
