y_true,y_pred
260991918.18522972,2.7454662e+08
50123474.03822877,3.44367e+07
178482300.96318725,2.9445565e+08
60008693.41855274,6.265999e+07
169777616.42877573,1.1853256e+08
133551803.2683458,1.329042e+08
76286000.52023272,1.1115602e+08
71843449.69894482,6.99723e+07
54843816.30259567,5.034574e+07
57082034.90556967,6.1982336e+07
139002155.7545164,1.1562256e+08
134894021.20558435,1.3400306e+08
95058210.11783905,1.0925877e+08
77827079.95602347,7.263835e+07
110441883.56736541,1.0664334e+08
65006641.528389476,5.5028948e+07
60008693.41855274,5.8512468e+07
116104360.02369751,1.00259e+08
80197267.40504706,5.510258e+07
65006641.528389476,8.3482584e+07
69720154.87505783,7.920361e+07
110441883.56736541,7.24716e+07
158299600.31655303,1.3924496e+08
77827079.95602347,7.333804e+07
105055569.34655978,9.16562e+07
65006641.528389476,7.328294e+07
58820441.67573725,5.9218904e+07
69026427.74301739,7.580702e+07
185766301.8451336,2.6043675e+08
11524664.08748392,2.1153566e+07
274373259.9758682,3.2839942e+08
23441066.01278236,1.7884342e+07
63085404.92221469,6.735925e+07
397219665.8050841,2.5787824e+08
229175810.8656434,1.9579651e+08
80197267.40504706,7.684206e+07
54843816.30259567,6.3848948e+07
118449823.67912504,9.723442e+07
77827079.95602347,8.417153e+07
78609255.11325425,3.7961452e+07
220189698.78888062,2.4423107e+08
57082034.90556967,5.1720456e+07
69720154.87505783,7.28291e+07
41866644.756578766,2.7540398e+07
27508345.79363675,3.7464908e+07
46734817.42546073,4.7094264e+07
189519030.07422003,2.8623248e+08
65006641.528389476,5.960669e+07
57082034.90556967,5.586196e+07
93175931.44442067,7.651417e+07
318776248.72895277,3.3029718e+08
58820441.67573725,2.7627788e+07
44902319.023094684,4.9260496e+07
105055569.34655978,1.1134211e+08
178482300.96318725,1.7956302e+08
31642129.416324794,1.0290099e+08
28630982.68222707,3.0338154e+07
77827079.95602347,6.5051028e+07
80197267.40504706,8.2654264e+07
144674941.34526902,1.3596021e+08
50123474.03822877,3.975754e+07
74031408.4771392,7.7550136e+07
99931948.7701232,9.25502e+07
114949102.3390151,1.1656163e+08
14217725.233100275,1.871573e+07
109342968.46481532,1.4887802e+08
300212165.201959,1.5717035e+08
86876662.64275812,9.899498e+07
149080949.25869176,1.4256582e+08
122057157.85614918,9.733314e+07
28918728.84196732,2.9753348e+07
36034955.08814159,4.181091e+07
77052687.57164411,7.204559e+07
99931948.7701232,9.840611e+07
174948114.61285323,1.5939778e+08
69720154.87505783,8.667794e+07
104010248.96598592,1.4061518e+08
84309069.23126505,1.0807282e+08
49130962.75379746,5.3312092e+07
134894021.20558435,1.30926344e+08
30098924.554667726,2.735502e+07
63085404.92221469,6.4874716e+07
389354189.4334963,3.3781216e+08
193347568.44229022,1.13819144e+08
75526942.13244551,8.911422e+07
47678923.3633608,5.3880052e+07
20583492.96173147,3.1034688e+07
65006641.528389476,5.3188584e+07
53757835.97888369,5.6367028e+07
65659969.13733051,6.761915e+07
65006641.528389476,6.9848296e+07
79399291.26150458,6.893783e+07
36034955.08814159,3.5302864e+07
209450920.45993233,1.6615102e+08
41450064.68088622,3.0277632e+07
110441883.56736541,9.851372e+07
90422166.50445993,9.47455e+07
54843816.30259567,5.8507668e+07
74775436.5018106,7.284842e+07
55395005.819970064,4.8032084e+07
22976901.80662535,2.8360698e+07
139002155.7545164,1.6506126e+08
112672957.61050509,1.34036024e+08
155165058.21527496,1.1232309e+08
110441883.56736541,9.453089e+07
29799435.251377594,3.049433e+07
85156389.4637501,6.763605e+07
466141595.9940001,2.3190734e+08
80197267.40504706,7.834807e+07
82639637.80821343,1.1051336e+08
128315162.15997547,9.493001e+07
129604750.97911508,1.2073101e+08
155165058.21527496,1.45812e+08
57655718.89387505,5.8431604e+07
158299600.31655303,1.3541542e+08
57082034.90556967,5.8103092e+07
209450920.45993233,1.5798216e+08
110441883.56736541,5.8762876e+07
71843449.69894482,6.0240104e+07
140399150.64490905,1.6042074e+08
54843816.30259567,8.532012e+07
60008693.41855274,5.7866524e+07
140399150.64490905,1.293043e+08
44902319.023094684,4.4056216e+07
74031408.4771392,9.430163e+07
277130757.082054,3.9852538e+08
119640264.19819069,1.1963072e+08
45809406.03767006,4.546711e+07
63719423.78225522,6.531647e+07
60008693.41855274,5.813036e+07
114949102.3390151,7.579445e+07
119640264.19819069,1.32548264e+08
99931948.7701232,1.4330546e+08
88631687.64519419,8.410493e+07
99931948.7701232,1.4939117e+08
71843449.69894482,8.071664e+07
309354986.78036124,2.7333757e+08
116104360.02369751,1.0265028e+08
159890537.74909166,1.1573023e+08
137619061.1955347,1.353909e+08
129604750.97911508,1.21323336e+08
67659612.8968103,6.6739524e+07
44013193.53483411,4.47302e+07
150579237.7078077,1.6359723e+08
55951734.88408931,7.218203e+07
78609255.11325425,7.253369e+07
44902319.023094684,3.530233e+07
169777616.42877573,2.720959e+08
81817359.67311303,8.3834904e+07
78609255.11325425,7.684133e+07
401211789.8155418,2.286292e+08
129604750.97911508,1.0842091e+08
119640264.19819069,1.3437315e+08
44013193.53483411,6.1780268e+07
159890537.74909166,2.1439579e+08
124522876.0047006,1.2143076e+08
147597569.0287357,1.5683376e+08
37882506.74337142,3.126402e+07
136249728.657356,1.455522e+08
119640264.19819069,1.0605226e+08
65006641.528389476,6.191758e+07
137619061.1955347,1.2544225e+08
268940305.4191956,2.832228e+08
39036200.8312318,3.9058228e+07
54843816.30259567,4.6870772e+07
185766301.8451336,2.088278e+08
43141673.91083772,4.788198e+07
45809406.03767006,2.6008514e+07
44902319.023094684,4.6425724e+07
105055569.34655978,9.460592e+07
325215956.121981,3.0191664e+08
69720154.87505783,7.148615e+07
209450920.45993233,1.5455757e+08
77827079.95602347,7.689558e+07
25393403.66416218,3.5249572e+07
195290743.81045318,1.8335342e+08
95058210.11783905,1.069595e+08
58820441.67573725,5.535645e+07
72565488.37232235,7.2554584e+07
96978513.34276429,1.1158575e+08
25906384.44601858,2.6046194e+07
89522450.91498001,8.4927704e+07
95058210.11783905,9.942224e+07
159890537.74909166,1.9842632e+08
74031408.4771392,7.7550136e+07
69720154.87505783,7.8250104e+07
60008693.41855274,4.369261e+07
149080949.25869176,1.4213709e+08
191423727.9920957,1.0334769e+08
180276077.90943435,2.539897e+08
65006641.528389476,5.415101e+07
105055569.34655978,1.0976424e+08
199235878.5302461,1.6216814e+08
95058210.11783905,8.3515544e+07
81817359.67311303,8.3032536e+07
98937609.26609069,8.6145576e+07
220189698.78888062,1.8872102e+08
69720154.87505783,7.8836904e+07
58820441.67573725,5.556781e+07
58820441.67573725,5.249687e+07
52169051.818940915,5.6570376e+07
61836230.209774315,6.887737e+07
29799435.251377594,3.062215e+07
109342968.46481532,1.2427651e+08
109342968.46481532,8.047452e+07
58235168.5021162,5.4657292e+07
279915967.4948901,2.478908e+08
224637825.76450363,2.3162442e+08
68339603.31127323,6.766856e+07
67659612.8968103,4.6130464e+07
60008693.41855274,4.602386e+07
65006641.528389476,5.1683776e+07
30098924.554667726,3.6296308e+07
111551842.95030783,1.16173656e+08
74775436.5018106,5.8048372e+07
74775436.5018106,8.629277e+07
231479066.0564932,1.2262453e+08
69720154.87505783,7.6272296e+07
99931948.7701232,1.1133489e+08
318776248.72895277,2.2989688e+08
95058210.11783905,9.387148e+07
71843449.69894482,8.670357e+07
80197267.40504706,7.273942e+07
87749787.61803256,7.062192e+07
114949102.3390151,1.3278814e+08
114949102.3390151,1.2668487e+08
169777616.42877573,1.441872e+08
140399150.64490905,1.2165053e+08
16030440.436941221,2.6103438e+07
55395005.819970064,5.997527e+07
93175931.44442067,9.6113336e+07
89522450.91498001,1.06472824e+08
23914606.957896195,3.4111796e+07
93175931.44442067,8.677421e+07
88631687.64519419,6.991627e+07
169777616.42877573,1.5774699e+08
69720154.87505783,8.0057336e+07
87749787.61803256,8.391538e+07
34969961.21690818,3.1313072e+07
152092584.20617804,9.720568e+07
300212165.201959,1.4872816e+08
169777616.42877573,2.4525245e+08
123283852.68642192,2.6698126e+08
80197267.40504706,9.390998e+07
30098924.554667726,2.9302068e+07
57655718.89387505,6.5031304e+07
499940675.3264629,3.0078144e+08
69720154.87505783,7.669974e+07
49130962.75379746,3.878496e+07
271643200.4243261,2.6330822e+08
72565488.37232235,7.787772e+07
80197267.40504706,8.684061e+07
199235878.5302461,1.4577974e+08
37882506.74337142,6.4297696e+07
76286000.52023272,7.128492e+07
85156389.4637501,8.284239e+07
95058210.11783905,1.0323499e+08
28918728.84196732,4.2847436e+07
114949102.3390151,1.1875908e+08
59411596.94254284,5.039118e+07
69720154.87505783,6.962974e+07
77827079.95602347,6.903401e+07
24397714.064658955,2.5201108e+07
136249728.657356,1.5395206e+08
54843816.30259567,5.7791188e+07
199235878.5302461,1.5970603e+08
77827079.95602347,9.5022024e+07
149080949.25869176,1.4090971e+08
74775436.5018106,7.583769e+07
168088300.91963977,1.2159834e+08
25393403.66416218,4.3619664e+07
97953163.60543309,8.213016e+07
43575254.941932395,4.2939636e+07
268940305.4191956,1.8329467e+08
33936442.671313055,3.4810412e+07
47678923.3633608,4.4844416e+07
